artist,born-died,period,school,url,base,nationality,birth_year_clean,death_year_clean,clean_name
"STOCKT, Vrancke van der",(c. 1420-1495),Northern Renaissance,painter,https://www.wga.hu/html/s/stockt/index.html,Flanders,Flemish,1420,1495,Vrancke van der Stockt
"STOFFE, Jan Jacobsz. van der",(c. 1611-1682),Baroque,painter,https://www.wga.hu/html/s/stoffe/index.html,Leiden,Dutch,1611,1682,Jan Jacobsz. van der Stoffe
"STOM, Antonio",(1688-1734),Baroque,painter,https://www.wga.hu/html/s/stom_a/index.html,Venice,Italian,1688,1734,Antonio Stom
"STOM, Matthias",(c. 1600-after 1650),Baroque,painter,https://www.wga.hu/html/s/stom/index.html,Netherlands,Dutch,1600,1650,Matthias Stom
"STONE, Nicholas the Elder",(1586-1647),Baroque,sculptor,https://www.wga.hu/html/s/stone/index.html,England,English,1586,1647,Nicholas the Elder Stone
"STOOP, Dirck Willemsz.",(c. 1618-1686),Baroque,painter,https://www.wga.hu/html/s/stoop/dirck/index.html,Utrecht,Dutch,1618,1686,Dirck Willemsz. Stoop
"STOOP, Maerten",(1620-1647),Baroque,painter,https://www.wga.hu/html/s/stoop/maerten/index.html,Netherlands,Dutch,1620,1647,Maerten Stoop
"STORCK, Abraham",(1644-1708),Baroque,painter,https://www.wga.hu/html/s/storck/abraham/index.html,Amsterdam,Dutch,1644,1708,Abraham Storck
"STORCK, Jacobus",(1641-1688),Baroque,painter,https://www.wga.hu/html/s/storck/jacobus/index.html,Amsterdam,Dutch,1641,1688,Jacobus Storck
"STORR, Paul",(1771-1844),Neoclassicism,goldsmith,https://www.wga.hu/html/s/storr/index.html,London,English,1771,1844,Paul Storr
"STORY, William Wetmore",(1819-1895),Realism,sculptor,https://www.wga.hu/html/s/story/index.html,Rome,American,1819,1895,William Wetmore Story
"STOSKOPFF, Sébastien",(1597-1657),Baroque,painter,https://www.wga.hu/html/s/stoskopf/index.html,Strasbourg,French,1597,1657,Sébastien Stoskopff
"STOSS, Veit",(c. 1438-1533),Northern Renaissance,sculptor,https://www.wga.hu/html/s/stoss/index.html,Germany,German,1438,1533,Veit Stoss
"STOUF, Jean-Baptiste",(1742-1826),Neoclassicism,sculptor,https://www.wga.hu/html/s/stouf/index.html,Paris,French,1742,1826,Jean-Baptiste Stouf
"STRADA, Jacopo",(c. 1515-1588),Mannerism,architect,https://www.wga.hu/html/s/strada/index.html,Italy,Italian,1515,1588,Jacopo Strada
"STRADANUS, Johannes",(1523-1605),Mannerism,painter,https://www.wga.hu/html/s/stradanu/index.html,Italy,Flemish,1523,1605,Johannes Stradanus
"STRAETEN, Charles van der",(1771-1834),Neoclassicism,architect,https://www.wga.hu/html/s/straeten/index.html,Flanders,Flemish,1771,1834,Charles van der Straeten
"STRANOVER, Tobias",(1684-after 1731),Baroque,painter,https://www.wga.hu/html/s/stranove/index.html,London,Other,1684,1731,Tobias Stranover
"STRATHMANN, Carl",(1866-1939),Art Nouveau,painter,https://www.wga.hu/html/s/strathma/index.html,Munich,German,1866,1939,Carl Strathmann
"STRAUB, Johann Baptist",(1705-1784),Rococo,sculptor,https://www.wga.hu/html/s/straub/index.html,Germany,German,1705,1784,Johann Baptist Straub
"STRAUVEN, Gustave",(1878-1919),Art Nouveau,architect,https://www.wga.hu/html/s/strauven/index.html,Brussels,Belgian,1878,1919,Gustave Strauven
"STREECK, Hendrick van",(1659-c. 1719),Baroque,painter,https://www.wga.hu/html/s/streeck/hendrick/index.html,Amsterdam,Dutch,1659,1719,Hendrick van Streeck
"STREECK, Juriaen van",(1632-1687),Baroque,painter,https://www.wga.hu/html/s/streeck/juriaen/index.html,Amsterdam,Dutch,1632,1687,Juriaen van Streeck
"STRIGEL, Bernhard",(1460-1528),Northern Renaissance,painter,https://www.wga.hu/html/s/strigel/bernhard/index.html,Swabia,German,1460,1528,Bernhard Strigel
"STRIGEL, Hans II",(active 1450-1480),Northern Renaissance,painter,https://www.wga.hu/html/s/strigel/hans/index.html,Swabia,German,1450,1480,Hans II Strigel
"STRIJ, Abraham van, I",(1753-1826),Baroque,painter,https://www.wga.hu/html/s/strij/abraham/index.html,Dordrecht,Dutch,1753,1826,"Abraham van, I Strij"
"STRIJ, Jacob van",(1756-1815),Baroque,painter,https://www.wga.hu/html/s/strij/jacob/index.html,Dordrecht,Dutch,1756,1815,Jacob van Strij
"STRINDBERG, August",(1849-1912),Realism,painter,https://www.wga.hu/html/s/strindbe/index.html,Sweden,Swedish,1849,1912,August Strindberg
"STRINGER, Francis",(active 1760-1778),Rococo,painter,https://www.wga.hu/html/s/stringe/index.html,England,English,1760,1778,Francis Stringer
"STRINGER, Thomas",(1722-1790),Rococo,painter,https://www.wga.hu/html/s/stringer/index.html,Knutsford,English,1722,1790,Thomas Stringer
"STROOBANT, François",(1819-1916),Realism,painter,https://www.wga.hu/html/s/strooban/index.html,Belgium,Belgian,1819,1916,François Stroobant
"STROZZI, Bernardo",(1581-1644),Baroque,painter,https://www.wga.hu/html/s/strozzi/index.html,Genoa,Italian,1581,1644,Bernardo Strozzi
"STROZZI, Zanobi",(1412-1468),Early Renaissance,painter,https://www.wga.hu/html/s/strozziz/index.html,Florence,Italian,1412,1468,Zanobi Strozzi
"STRUDEL, Paul",(1648-1708),Baroque,sculptor,https://www.wga.hu/html/s/strudel/index.html,Vienna,Austrian,1648,1708,Paul Strudel
"STRÉSOR, Henri",(c. 1613-1679),Baroque,painter,https://www.wga.hu/html/s/stresor/index.html,Paris,French,1613,1679,Henri Strésor
"STRÓBL, Alajos",(1856-1926),Realism,sculptor,https://www.wga.hu/html/s/strobl/index.html,Budapest,Hungarian,1856,1926,Alajos Stróbl
"STRÖHLING, Eduard",(1768-after 1826),Realism,painter,https://www.wga.hu/html/s/strohlin/index.html,London,German,1768,1826,Eduard Ströhling
"STUART, Gilbert",(1755-1828),Rococo,painter,https://www.wga.hu/html/s/stuart/index.html,United States,American,1755,1828,Gilbert Stuart
"STUART, James",(1713-1788),Neoclassicism,architect,https://www.wga.hu/html/s/stuart_j/index.html,England,English,1713,1788,James Stuart
"STUBBS, George",(1724-1806),Rococo,painter,https://www.wga.hu/html/s/stubbs/index.html,England,English,1724,1806,George Stubbs
"STUCK, Franz von",(1863-1928),Impressionism,painter,https://www.wga.hu/html/s/stuck/index.html,Munich,German,1863,1928,Franz von Stuck
"STÜLER, Friedrich August",(1800-1865),Romanticism,architect,https://www.wga.hu/html/s/stuler/index.html,Germany,German,1800,1865,Friedrich August Stüler
"SUBLEYRAS, Pierre",(1699-1749),Baroque,painter,https://www.wga.hu/html/s/subleyra/index.html,France,French,1699,1749,Pierre Subleyras
"SULLIVAN, Louis Henry",(1856-1924),Realism,architect,https://www.wga.hu/html/s/sullivan/index.html,Chicago,American,1856,1924,Louis Henry Sullivan
"SULLY, Thomas",(1783-1872),Romanticism,painter,https://www.wga.hu/html/s/sully/index.html,United States,American,1783,1872,Thomas Sully
"SURUGUE, Louis",(c. 1686-1762),Baroque,graphic,https://www.wga.hu/html/s/surugue/louis/index.html,France,French,1686,1762,Louis Surugue
"SURUGUE, Pierre",(1728-1786),Rococo,sculptor,https://www.wga.hu/html/s/surugue/pierre/index.html,Paris,French,1728,1786,Pierre Surugue
"SUSENIER, Abraham",(c. 1620-c. 1668),Baroque,painter,https://www.wga.hu/html/s/susenier/index.html,Dordrecht,Dutch,1620,1668,Abraham Susenier
"SUSINI, Antonio",(before 1580-1624),Baroque,sculptor,https://www.wga.hu/html/s/susini/antonio/index.html,Florence,Italian,1580,1624,Antonio Susini
"SUSINI, Francesco",(1585-1653),Baroque,sculptor,https://www.wga.hu/html/s/susini/francesc/index.html,Florence,Italian,1585,1653,Francesco Susini
"SUSTERMANS, Justus",(1597-1681),Baroque,painter,https://www.wga.hu/html/s/susterma/index.html,Flanders,Flemish,1597,1681,Justus Sustermans
"SUSTRIS, Friedrich",(c. 1540-1599),Mannerism,painter,https://www.wga.hu/html/s/sustris/friedric/index.html,Bavaria,Dutch,1540,1599,Friedrich Sustris
"SUSTRIS, Lambert",(c. 1515-after 1560),Mannerism,painter,https://www.wga.hu/html/s/sustris/lambert/index.html,Netherlands,Dutch,1515,1560,Lambert Sustris
"SUVÉE, Joseph-Benoit",(1743-1807),Neoclassicism,painter,https://www.wga.hu/html/s/suvee/index.html,Flanders,Flemish,1743,1807,Joseph-Benoit Suvée
"SUYS, Léon-Pierre",(1823-1887),Neoclassicism,architect,https://www.wga.hu/html/s/suys/son/index.html,Belgium,Belgian,1823,1887,Léon-Pierre Suys
"SUYS, Tilman-François",(1783-1864),Neoclassicism,architect,https://www.wga.hu/html/s/suys/father/index.html,Belgium,Belgian,1783,1864,Tilman-François Suys
"SUZOR-COTÉ, Marc Aurèle de Foy",(1869-1937),Impressionism,painter,https://www.wga.hu/html/s/suzor/index.html,Other,Other,1869,1937,Marc Aurèle de Foy Suzor-Coté
"SWAINE, Francis",(c. 1720-1782),Rococo,painter,https://www.wga.hu/html/s/swaine/index.html,London,English,1720,1782,Francis Swaine
"SWAMMERDAM, Jan",(1637-1680),Baroque,graphic,https://www.wga.hu/html/s/swammerd/index.html,Amsterdam,Dutch,1637,1680,Jan Swammerdam
"SWANENBURG, Isaac Claesz. van",(1537-1614),Baroque,painter,https://www.wga.hu/html/s/swanenbu/isaac/index.html,Leiden,Netherlandish,1537,1614,Isaac Claesz. van Swanenburg
"SWANENBURG, Willem Isaacsz. van",(1580-1612),Baroque,graphic,https://www.wga.hu/html/s/swanenbu/willem/index.html,Leiden,Netherlandish,1580,1612,Willem Isaacsz. van Swanenburg
"SWANEVELT, Herman van",(c. 1600-1655),Baroque,painter,https://www.wga.hu/html/s/swanevel/index.html,Netherlands,Dutch,1600,1655,Herman van Swanevelt
"SWART VAN GRONINGEN, Jan",(c. 1500-c. 1560),Northern Renaissance,graphic,https://www.wga.hu/html/s/swart/index.html,Netherlandish,Netherlandish,1500,1560,Jan Swart Van Groningen
"SWEERTS, Michiel",(1618-1664),Baroque,painter,https://www.wga.hu/html/s/sweerts/index.html,Flanders,Flemish,1618,1664,Michiel Sweerts
"SWOBODA, Rudolph Der G.",(1859-1914),Realism,painter,https://www.wga.hu/html/s/swoboda/index.html,Austria,Austrian,1859,1914,Rudolph Der G. Swoboda
"SWOL, Ambrosius van",(active 1640-1680),Baroque,sculptor,https://www.wga.hu/html/s/swol/index.html,Utrecht,Dutch,1640,1680,Ambrosius van Swol
"SYRLIN, Jörg the Elder",(1420s-1481),Northern Renaissance,sculptor,https://www.wga.hu/html/s/syrlin/index.html,Ulm,German,1420,1481,Jörg the Elder Syrlin
"SZINYEI MERSE, Pál",(1845-1920),Impressionism,painter,https://www.wga.hu/html/s/szinyei/index.html,Hungary,Hungarian,1845,1920,Pál Szinyei Merse
"SZÉKELY, Bertalan",(1835-1910),Realism,painter,https://www.wga.hu/html/s/szekely/index.html,Hungary,Hungarian,1835,1910,Bertalan Székely
"SÉROUX D'AGINCOURT, Jean-Baptiste",(1730-1814),Rococo,graphic,https://www.wga.hu/html/s/seroux/index.html,Rome,French,1730,1814,Jean-Baptiste Séroux D'Agincourt
"SÉRUSIER, Paul",(1864-1927),Impressionism,painter,https://www.wga.hu/html/s/serusier/index.html,France,French,1864,1927,Paul Sérusier
"SØDRING, Frederik Hansen",(1809-1862),Romanticism,painter,https://www.wga.hu/html/s/sodring/index.html,Denmark,Danish,1809,1862,Frederik Hansen Sødring
"TACCA, Ferdinando",(1619-1686),Baroque,sculptor,https://www.wga.hu/html/t/tacca/son/index.html,Florence,Italian,1619,1686,Ferdinando Tacca
"TACCA, Pietro",(1577-1640),Baroque,sculptor,https://www.wga.hu/html/t/tacca/father/index.html,Florence,Italian,1577,1640,Pietro Tacca
TADDEO DI BARTOLO,(1362/63-1422),Medieval,painter,https://www.wga.hu/html/t/taddeo/index.html,Siena,Italian,1362,1422,TADDEO DI BARTOLO
"TADOLINI, Scipione",(1822-1892),Realism,sculptor,https://www.wga.hu/html/t/tadolini/index.html,Rome,Italian,1822,1892,Scipione Tadolini
"TALENTI, Francesco",(c. 1300-after 1369),Medieval,architect,https://www.wga.hu/html/t/talenti/francesc/index.html,Florence,Italian,1300,1369,Francesco Talenti
"TALENTI, Simone",(c. 1330-after 1383),Medieval,architect,https://www.wga.hu/html/t/talenti/simone/index.html,Florence,Italian,1330,1383,Simone Talenti
"TALPA, Bartolo",(active c. 1495),Early Renaissance,sculptor,https://www.wga.hu/html/t/talpa/index.html,Mantua,Italian,1495,,Bartolo Talpa
"TAMAGNI, Vincenzo",(1492-1530),High Renaissance,painter,https://www.wga.hu/html/t/tamagni/index.html,SanGimignano,Italian,1492,1530,Vincenzo Tamagni
"TAMM, Franz Werner von",(1658-1724),Baroque,painter,https://www.wga.hu/html/t/tamm/index.html,Germany,German,1658,1724,Franz Werner von Tamm
TANZIO DA VARALLO,(c. 1580-c. 1632),Baroque,painter,https://www.wga.hu/html/t/tanzio/index.html,Italy,Italian,1580,1632,TANZIO DA VARALLO
"TARAVAL, Guillaume-Thomas-Raphaël",(1701-1750),Baroque,painter,https://www.wga.hu/html/t/taraval/guillaum/index.html,Stockholm,French,1701,1750,Guillaume-Thomas-Raphaël Taraval
"TARAVAL, Hugues",(1729-1785),Rococo,painter,https://www.wga.hu/html/t/taraval/hugues/index.html,Paris,French,1729,1785,Hugues Taraval
"TARAVAL, Louis-Gustave",(1738-1794),Neoclassicism,graphic,https://www.wga.hu/html/t/taraval/louis/index.html,France,French,1738,1794,Louis-Gustave Taraval
"TARBELL, Edmund Charles",(1862-1938),Impressionism,painter,https://www.wga.hu/html/t/tarbell/index.html,United States,American,1862,1938,Edmund Charles Tarbell
"TARCHIANI, Filippo",(1576-1645),Baroque,painter,https://www.wga.hu/html/t/tarchian/index.html,Florence,Italian,1576,1645,Filippo Tarchiani
"TARDIEU, Nicolas-Henry",(1674-1749),Baroque,graphic,https://www.wga.hu/html/t/tardieu/index.html,Paris,French,1674,1749,Nicolas-Henry Tardieu
"TARGONE, Cesare",(active 1575-1590),Mannerism,goldsmith,https://www.wga.hu/html/t/targone/index.html,Italy,Italian,1575,1590,Cesare Targone
"TARSIA, Antonio",(c. 1662-1739),Baroque,sculptor,https://www.wga.hu/html/t/tarsia/index.html,Venice,Austrian,1662,1739,Antonio Tarsia
"TARUFFI, Emilio",(1633-1696),Baroque,painter,https://www.wga.hu/html/t/taruffi/index.html,Bologna,Italian,1633,1696,Emilio Taruffi
"TASSAERT, Jean-Pierre-Antoine",(1727-1788),Rococo,sculptor,https://www.wga.hu/html/t/tassaert/jean/index.html,Flanders,Flemish,1727,1788,Jean-Pierre-Antoine Tassaert
"TASSAERT, Octave",(1800-1874),Romanticism,painter,https://www.wga.hu/html/t/tassaert/octave/index.html,France,French,1800,1874,Octave Tassaert
"TASSEL, Jean",(1608-1667),Baroque,painter,https://www.wga.hu/html/t/tassel/index.html,Langres,French,1608,1667,Jean Tassel
"TASSELLI, Domenico",active 1500-1550,High Renaissance,painter,https://www.wga.hu/html/t/tasselli/index.html,Italy,Italian,1500,1550,Domenico Tasselli
"TASSI, Agostino",(1578-1644),Baroque,painter,https://www.wga.hu/html/t/tassi/index.html,Rome,Italian,1578,1644,Agostino Tassi
"TAUNAY, Nicolas Antoine",(1755-1830),Rococo,painter,https://www.wga.hu/html/t/taunay/index.html,France,French,1755,1830,Nicolas Antoine Taunay
"TEERLINC, Levina",c. 1515-1576),Mannerism,miniaturist,https://www.wga.hu/html/t/teerlinc/index.html,London,Flemish,1515,1576,Levina Teerlinc
"TELEPY, Károly",(1828-1906),Romanticism,painter,https://www.wga.hu/html/t/telepy/index.html,Hungary,Hungarian,1828,1906,Károly Telepy
"TEMANZA, Tommaso",(1705-1789),Rococo,architect,https://www.wga.hu/html/t/temanza/index.html,Venice,Italian,1705,1789,Tommaso Temanza
"TEMPEL, Abraham van den",(1622/23-1672),Baroque,painter,https://www.wga.hu/html/t/tempel/index.html,Amsterdam,Dutch,1622,1672,Abraham van den Tempel
"TEMPESTA, Antonio",(1555-1630),Baroque,painter,https://www.wga.hu/html/t/tempesta/index.html,Florence,Italian,1555,1630,Antonio Tempesta
"TENERANI, Pietro",(1789-1869),Neoclassicism,sculptor,https://www.wga.hu/html/t/tenerani/index.html,Italy,Italian,1789,1869,Pietro Tenerani
"TENGNAGEL, Jan",(1584-1635),Baroque,painter,https://www.wga.hu/html/t/tengnage/index.html,Amsterdam,Dutch,1584,1635,Jan Tengnagel
"TENIERS, Abraham",(1629-1670),Baroque,painter,https://www.wga.hu/html/t/teniers/abraham/index.html,Antwerp,Flemish,1629,1670,Abraham Teniers
"TENIERS, David the Elder",(1582-1649),Baroque,painter,https://www.wga.hu/html/t/teniers/jan1/index.html,Antwerp,Flemish,1582,1649,David the Elder Teniers
"TENIERS, David the Younger",(1610-1690),Baroque,painter,https://www.wga.hu/html/t/teniers/jan2/index.html,Antwerp,Flemish,1610,1690,David the Younger Teniers
"TERBORCH, Gerard",(1617-1681),Baroque,painter,https://www.wga.hu/html/t/terborch/index.html,Deventer,Dutch,1617,1681,Gerard Terborch
"TERBRUGGHEN, Hendrick",(1588-1629),Baroque,painter,https://www.wga.hu/html/t/terbrugg/index.html,Utrecht,Dutch,1588,1629,Hendrick Terbrugghen
"TERILLI, Francesco",(active 1610-1630),Baroque,sculptor,https://www.wga.hu/html/t/terilli/index.html,Feltre,Italian,1610,1630,Francesco Terilli
"TERRENI, Giuseppe Maria",(1739-1811),Neoclassicism,painter,https://www.wga.hu/html/t/terreni/index.html,Livorno,Italian,1739,1811,Giuseppe Maria Terreni
"TERZIO, Francesco",(c. 1523-1591),Mannerism,painter,https://www.wga.hu/html/t/terzio/index.html,Vienna,Italian,1523,1591,Francesco Terzio
"TESSIN, Nicodemus the Elder",(1615-1681),Baroque,architect,https://www.wga.hu/html/t/tessin/elder/index.html,Stockholm,Swedish,1615,1681,Nicodemus the Elder Tessin
"TESSIN, Nicodemus the Younger",(1654-1728),Baroque,architect,https://www.wga.hu/html/t/tessin/younger/index.html,Stockholm,Swedish,1654,1728,Nicodemus the Younger Tessin
"TESTA, Pietro",(1611-1650),Baroque,painter,https://www.wga.hu/html/t/testa/index.html,Rome,Italian,1611,1650,Pietro Testa
"TESTARD, François Martin",(active 1790-1819),Neoclassicism,graphic,https://www.wga.hu/html/t/testard/index.html,Paris,French,1790,1819,François Martin Testard
"TESTELIN, Henri",(1616-1695),Baroque,painter,https://www.wga.hu/html/t/testelin/index.html,France,French,1616,1695,Henri Testelin
"TETRODE, Willem Danielsz van",(c. 1525-c. 1587),Mannerism,sculptor,https://www.wga.hu/html/t/tetrode/index.html,Netherlandish,Netherlandish,1525,1587,Willem Danielsz van Tetrode
"TEYLER, Johannes",(1648-before 1709),Baroque,graphic,https://www.wga.hu/html/t/teyler/index.html,Nijmegen,Dutch,1648,1709,Johannes Teyler
"THAULOW, Fritz",(1847-1906),Realism,painter,https://www.wga.hu/html/t/thaulow/index.html,Norway,Norwegian,1847,1906,Fritz Thaulow
THEOPHANES the Cretan,(active 1527-1559),Medieval,painter,https://www.wga.hu/html/t/theophax/index.html,Crete,Greek,1527,1559,THEOPHANES the Cretan
THEOPHANES the Greek,(c. 1340-c. 1410,Medieval,painter,https://www.wga.hu/html/t/theophan/index.html,Russia,Greek,1340,1410,THEOPHANES the Greek
"THEOTOKOPOULOS, Jorge Manuel",(1578-1631),Mannerism,painter,https://www.wga.hu/html/t/theotoko/index.html,Toledo,Spanish,1578,1631,Jorge Manuel Theotokopoulos
"THEVET, André",(1516-1592),Mannerism,graphic,https://www.wga.hu/html/t/thevet/index.html,Paris,French,1516,1592,André Thevet
"THIELE, Johann Alexander",(1685-1752),Baroque,painter,https://www.wga.hu/html/t/thiele/index.html,Germany,German,1685,1752,Johann Alexander Thiele
"THIELEN, Jan Philip van",(1618-1667),Baroque,painter,https://www.wga.hu/html/t/thielen/index.html,Antwerp,Flemish,1618,1667,Jan Philip van Thielen
"THIENEN, Renier van",(active 1465-1498),Northern Renaissance,sculptor,https://www.wga.hu/html/t/thienen/index.html,Brussels,Flemish,1465,1498,Renier van Thienen
"THIERRY, Jean",(1669-1739),Baroque,sculptor,https://www.wga.hu/html/t/thierry/index.html,Spain,French,1669,1739,Jean Thierry
"THIJS, Pieter",(c. 1624-1677),Baroque,painter,https://www.wga.hu/html/t/thijs/index.html,Antwerp,Flemish,1624,1677,Pieter Thijs
"THIRIOT, Jean",(c. 1590-1647),Baroque,architect,https://www.wga.hu/html/t/thiriot/index.html,France,French,1590,1647,Jean Thiriot
"THIRY, Léonard",(active 1536-1550),Mannerism,painter,https://www.wga.hu/html/t/thiry/index.html,Fontainebleau,Flemish,1536,1550,Léonard Thiry
"THIVAERT, Daniel Janszoon",(c. 1613-1657),Baroque,painter,https://www.wga.hu/html/t/thivaert/index.html,Amsterdam,Dutch,1613,1657,Daniel Janszoon Thivaert
"THOMA, Hans",(1839-1924),Realism,painter,https://www.wga.hu/html/t/thoma/index.html,Karlsruhe,German,1839,1924,Hans Thoma
"THOMAS VAN YPEREN, Jan",(1617-1673),Baroque,painter,https://www.wga.hu/html/t/thomas_j/index.html,Vienna,Flemish,1617,1673,Jan Thomas Van Yperen
"THOMAS, Gabriel-Jules",(1824-1905),Romanticism,sculptor,https://www.wga.hu/html/t/thomas/index.html,Paris,French,1824,1905,Gabriel-Jules Thomas
"THOMASSIN, Philippe",(1562-1622),Baroque,graphic,https://www.wga.hu/html/t/thomassi/index.html,Rome,French,1562,1622,Philippe Thomassin
"THOMIRE, Pierre-Philippe",(1751-1843),Neoclassicism,sculptor,https://www.wga.hu/html/t/thomire/index.html,Paris,French,1751,1843,Pierre-Philippe Thomire
"THOMON, Thomas de",(1754-1813),Neoclassicism,architect,https://www.wga.hu/html/t/thomon/index.html,St.Petersburg,French,1754,1813,Thomas de Thomon
"THON, Konstantin Andreyevich",(1794-1881),Romanticism,architect,https://www.wga.hu/html/t/thon/index.html,Moscow,Russian,1794,1881,Konstantin Andreyevich Thon
"THONET, Michael",(1796-1871),Rococo,cabinet-maker,https://www.wga.hu/html/t/thonet/index.html,Vienna,Austrian,1796,1871,Michael Thonet
"THORNHILL, Sir James",(1676-1734),Baroque,painter,https://www.wga.hu/html/t/thornhil/index.html,England,English,1676,1734,Sir James Thornhill
"THORNTON, William",(1759-1828),Neoclassicism,architect,https://www.wga.hu/html/t/thornton/index.html,Washington,American,1759,1828,William Thornton
"THORVALDSEN, Bertel",(1768/70-1844),Neoclassicism,sculptor,https://www.wga.hu/html/t/thorvald/index.html,Denmark,Danish,1768,1844,Bertel Thorvaldsen
"THULDEN, Theodor van",(1606-1669),Baroque,painter,https://www.wga.hu/html/t/thulden/index.html,Antwerp,Flemish,1606,1669,Theodor van Thulden
"THUMB, Peter",(1681-1766),Baroque,architect,https://www.wga.hu/html/t/thumb/index.html,Austria,Austrian,1681,1766,Peter Thumb
"THYNNE, Sir John",(c. 1515-1580),Northern Renaissance,architect,https://www.wga.hu/html/t/thynne/index.html,Longleat,English,1515,1580,Sir John Thynne
"TIARINI, Alessandro",(1577-1668),Baroque,painter,https://www.wga.hu/html/t/tiarini/index.html,Bologna,Italian,1577,1668,Alessandro Tiarini
"TIBALDI, Pellegrino",(1527-1596),Mannerism,painter,https://www.wga.hu/html/t/tibaldi/index.html,Rome,Italian,1527,1596,Pellegrino Tibaldi
"TIECK, Christian Friedrich",(1776-1851),Neoclassicism,sculptor,https://www.wga.hu/html/t/tieck/index.html,Berlin,German,1776,1851,Christian Friedrich Tieck
"TIELING, Lodewijk",(active 1695-1700),Baroque,painter,https://www.wga.hu/html/t/tieling/index.html,Amsterdam,Dutch,1695,1700,Lodewijk Tieling
"TIELIUS, Johannes",(c. 1660-1719),Baroque,painter,https://www.wga.hu/html/t/tielius/index.html,London,Dutch,1660,1719,Johannes Tielius
"TIEPOLO, Giovanni Battista",(1696-1770),Rococo,painter,https://www.wga.hu/html/t/tiepolo/gianbatt/index.html,Venice,Italian,1696,1770,Giovanni Battista Tiepolo
"TIEPOLO, Giovanni Domenico",(1727-1804),Rococo,painter,https://www.wga.hu/html/t/tiepolo/giandome/index.html,Venice,Italian,1727,1804,Giovanni Domenico Tiepolo
"TIEPOLO, Lorenzo",(1736-1776),Rococo,painter,https://www.wga.hu/html/t/tiepolo/lorenzo/index.html,Venice,Italian,1736,1776,Lorenzo Tiepolo
"TIETZ, Adam Ferdinand",(1708-1777),Rococo,sculptor,https://www.wga.hu/html/t/tietz/index.html,Austria,Austrian,1708,1777,Adam Ferdinand Tietz
"TIFFANY, Louis Comfort",(1848-1933),Impressionism,glass,https://www.wga.hu/html/t/tiffany/index.html,NewYork,American,1848,1933,Louis Comfort Tiffany
"TILBORGH, Gillis van",(c. 1625-c.1678),Baroque,painter,https://www.wga.hu/html/t/tilborgh/index.html,Brussels,Flemish,1625,1678,Gillis van Tilborgh
"TILGNER, Victor Oskar",(1844-1896),Realism,sculptor,https://www.wga.hu/html/t/tilgner/index.html,Vienna,Austrian,1844,1896,Victor Oskar Tilgner
"TILLEMANS, Peter",(c. 1684-1734),Rococo,painter,https://www.wga.hu/html/t/tilleman/index.html,England,English,1684,1734,Peter Tillemans
"TILLOT, Charles Victor",(1825-1895),Realism,painter,https://www.wga.hu/html/t/tillot/index.html,Paris,French,1825,1895,Charles Victor Tillot
TINO DI CAMAINO,(c. 1285-c. 1337),Medieval,sculptor,https://www.wga.hu/html/t/tino/index.html,Italy,Italian,1285,1337,TINO DI CAMAINO
"TINTORE, Simone del",(1630-1708),Baroque,painter,https://www.wga.hu/html/t/tintore/index.html,Lucca,Italian,1630,1708,Simone del Tintore
TINTORETTO,(1518-1594),Mannerism,painter,https://www.wga.hu/html/t/tintoret/index.html,Venice,Italian,1518,1594,TINTORETTO
"TIRALI, Andrea",(1657-1737),Baroque,architect,https://www.wga.hu/html/t/tirali/index.html,Venice,Italian,1657,1737,Andrea Tirali
"TIROL, Hans",(c. 1505-c. 1575),Mannerism,painter,https://www.wga.hu/html/t/tirol/index.html,Prague,German,1505,1575,Hans Tirol
"TIRONI, Francesco",(c. 1745-1797),Neoclassicism,painter,https://www.wga.hu/html/t/tironi/index.html,Venice,Italian,1745,1797,Francesco Tironi
"TISCHBEIN, Johann Friedrich August",(1750-1812),Neoclassicism,painter,https://www.wga.hu/html/t/tischbei/friedric/index.html,Leipzig,German,1750,1812,Johann Friedrich August Tischbein
"TISCHBEIN, Johann Heinrich Wilhelm",(1751-1829),Neoclassicism,painter,https://www.wga.hu/html/t/tischbei/wilhelm/index.html,Naples,German,1751,1829,Johann Heinrich Wilhelm Tischbein
"TISCHBEIN, Johann Heinrich the Elder",(1722-1789),Baroque,painter,https://www.wga.hu/html/t/tischbei/johann/index.html,Kassel,German,1722,1789,Johann Heinrich the Elder Tischbein
"TISCHBEIN, Johann Heinrich the Younger",(1742-1808),Rococo,painter,https://www.wga.hu/html/t/tischbei/johann2/index.html,Kassel,German,1742,1808,Johann Heinrich the Younger Tischbein
"TISSOT, James",(1836-1902),Realism,painter,https://www.wga.hu/html/t/tissot/index.html,France,French,1836,1902,James Tissot
"TITO, Santi di",(1536-1602),Mannerism,painter,https://www.wga.hu/html/t/tito/santi/index.html,Florence,Italian,1536,1602,Santi di Tito
"TITO, Tiberio di",(1578-1637),Mannerism,painter,https://www.wga.hu/html/t/tito/tiberio/index.html,Florence,Italian,1578,1637,Tiberio di Tito
"TIVOLI, Serafino de",(1826-1892),Realism,painter,https://www.wga.hu/html/t/tivoli/index.html,Italy,Italian,1826,1892,Serafino de Tivoli
TIZIANO Vecellio,(1490-1576),High Renaissance,painter,https://www.wga.hu/html/t/tiziano/index.html,Venice,Italian,1490,1576,TIZIANO Vecellio
