artist,born-died,period,school,url,base,nationality,birth_year_clean,death_year_clean,clean_name
"BOLSWERT, Boetius Adamsz.",(c. 1580-1633),Baroque,graphic,https://www.wga.hu/html/b/bolswert/boetius/index.html,Antwerp,Dutch,1580,1633,Boetius Adamsz. Bolswert
"BOLSWERT, Schelte Adamsz.",(c. 1586-1659),Baroque,graphic,https://www.wga.hu/html/b/bolswert/schelte/index.html,Antwerp,Dutch,1586,1659,Schelte Adamsz. Bolswert
"BOLTRAFFIO, Giovanni Antonio",(1467-1516),Early Renaissance,painter,https://www.wga.hu/html/b/boltraff/index.html,Milan,Italian,1467,1516,Giovanni Antonio Boltraffio
"BOMBELLI, Sebastiano",(1635-1719),Baroque,painter,https://www.wga.hu/html/b/bombelli/index.html,Venice,Italian,1635,1719,Sebastiano Bombelli
"BON, Bartolomeo",(active 1421-1464),Early Renaissance,architect,https://www.wga.hu/html/b/bon/bartolom/index.html,Italy,Italian,1421,1464,Bartolomeo Bon
"BON, Giovanni",(c. 1355-c. 1443),Early Renaissance,architect,https://www.wga.hu/html/b/bon/giovanni/index.html,Italy,Italian,1355,1443,Giovanni Bon
BONANNO DA PISA,(active late 12th cent.),Medieval,sculptor,https://www.wga.hu/html/b/bonanno/index.html,Italy,Italian,,,BONANNO DA PISA
"BONASONE, Giulio",(c. 1510-after 1576),High Renaissance,graphic,https://www.wga.hu/html/b/bonasone/index.html,Bologna,Italian,1510,1576,Giulio Bonasone
"BONAVIA, Carlo",(active 1751-1788),Rococo,painter,https://www.wga.hu/html/b/bonavia/index.html,Naples,Italian,1751,1788,Carlo Bonavia
"BONAVÍA, Santiago",(1705-1759),Baroque,architect,https://www.wga.hu/html/b/bonavia1/index.html,Spain,Italian,1705,1759,Santiago Bonavía
"BONAZZA, Giovanni",(1654-1736),Baroque,sculptor,https://www.wga.hu/html/b/bonazza/index.html,Padua,Italian,1654,1736,Giovanni Bonazza
"BONDOL, Jean",(active 1368-1381),Medieval,illuminator,https://www.wga.hu/html/b/bondol/index.html,Paris,Netherlandish,1368,1381,Jean Bondol
"BONE, Henry",(1755-1834),Romanticism,miniaturist,https://www.wga.hu/html/b/bone/index.html,England,English,1755,1834,Henry Bone
"BONECHI, Matteo",(1669-1756),Rococo,painter,https://www.wga.hu/html/b/bonechi/index.html,Florence,Italian,1669,1756,Matteo Bonechi
"BONFIGLI, Benedetto",(c. 1420-1496),Early Renaissance,painter,https://www.wga.hu/html/b/bonfigli/index.html,Perugia,Italian,1420,1496,Benedetto Bonfigli
